Zip,City,Robbery,Violent Crime,Murder & Manslaughter,Forcible Rape,Aggravated Assault,Property Crime,Burglary,Larceny & Theft,Motor Vehicle Theft,Arson,Total
29909,Port Royal SC,10,20,1,1,8,250,31,210,9,0,270
29910,Bluffton SC,10,51,0,0,41,348,52,279,17,4,399
29911,Brunson SC,0,0,0,0,0,0,0,0,0,0,0
29918,Estill SC,4,34,0,1,29,133,49,70,14,0,167
29924,Hampton SC,4,26,2,2,18,170,42,126,2,0,196
29924,Varnville SC,0,0,0,0,0,0,0,0,0,0,0
29927,Bluffton SC,10,51,0,0,41,348,52,279,17,4,399
29927,Hardeeville SC,8,28,0,3,17,259,30,213,16,2,287
29935,Beaufort SC,35,146,0,2,109,852,140,669,43,1,998
29935,Port Royal SC,10,20,1,1,8,250,31,210,9,0,270
29936,Hardeeville SC,8,28,0,3,17,259,30,213,16,2,287
29936,Ridgeland SC,11,37,1,2,23,142,18,115,9,1,179
29940,Beaufort SC,35,146,0,2,109,852,140,669,43,1,998
29941,Beaufort SC,35,146,0,2,109,852,140,669,43,1,998
29944,Hampton SC,4,26,2,2,18,170,42,126,2,0,196
29944,Varnville SC,0,0,0,0,0,0,0,0,0,0,0
29945,Yemassee SC,1,4,0,0,3,15,3,11,1,0,19
