zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
29117,UNIQUE,0,Orangeburg,,Sc State University,SC,Orangeburg County,America/New_York,803,NA,US,33.5,-80.85,221
29118,STANDARD,0,Orangeburg,,,SC,Orangeburg County,America/New_York,803,NA,US,33.57,-80.89,13030
29123,STANDARD,0,Pelion,,Thor,SC,Lexington County,America/New_York,803,NA,US,33.78,-81.24,6620
29125,STANDARD,0,Pinewood,Rimini,"Millford, Panola",SC,Sumter County,America/New_York,803,NA,US,33.73,-80.46,2290
29126,STANDARD,0,Pomaria,,Glympville,SC,Newberry County,America/New_York,,NA,US,34.26,-81.41,2180
29127,STANDARD,0,Prosperity,,"Slighs, Stockman, Stoney Hill",SC,Newberry County,America/New_York,803,NA,US,34.21,-81.53,7830
29128,STANDARD,0,Rembert,Borden,"Boykin, Dunkins Mill, Hagood, Pisgah, Spring Hill",SC,Sumter County,America/New_York,,NA,US,34.09,-80.51,3840
29129,STANDARD,0,Ridge Spring,,,SC,Aiken County,America/New_York,803,NA,US,33.84,-81.66,3800
29130,STANDARD,0,Ridgeway,,"Longtown, Smallwood",SC,Fairfield County,America/New_York,803,NA,US,34.3,-80.96,5350
29133,STANDARD,0,Rowesville,,,SC,Orangeburg County,America/New_York,803,NA,US,33.37,-80.83,820
29135,STANDARD,0,Saint Matthews,"Fort Motte, St Matthews","Hammond Crossroads, Singleton",SC,Calhoun County,America/New_York,803,NA,US,33.66,-80.77,7330
29137,STANDARD,0,Salley,Perry,"Berlin, Kitchings Mill",SC,Aiken County,America/New_York,803,NA,US,33.56,-81.3,2080
29138,STANDARD,0,Saluda,,"Emory, Fruit Hill, Richland Springs",SC,Saluda County,America/New_York,864,NA,US,34,-81.77,11000
29142,STANDARD,0,Santee,,Parlers,SC,Orangeburg County,America/New_York,803,NA,US,33.48,-80.48,4080
29145,STANDARD,0,Silverstreet,,,SC,Newberry County,America/New_York,,NA,US,34.21,-81.71,710
29146,STANDARD,0,Springfield,,,SC,Orangeburg County,America/New_York,803,NA,US,33.49,-81.27,1340
29148,STANDARD,0,Summerton,,"Davis Crossroads, Goat Island Resort, St Paul",SC,Clarendon County,America/New_York,803,NA,US,33.6,-80.35,4650
29150,STANDARD,0,Sumter,Oswego,"Bon Air, Brogdon, Frens, Highway Four Forty One, Hoyt Heights, Stateburg",SC,Sumter County,America/New_York,803,NA,US,33.94,-80.39,33520
29152,STANDARD,0,Shaw A F B,Shaw Afb,,SC,Sumter County,America/New_York,803,NA,US,33.97,-80.45,2690
29153,STANDARD,0,Sumter,,,SC,Sumter County,America/New_York,803,NA,US,33.96,-80.31,13970
29154,STANDARD,0,Sumter,,,SC,Sumter County,America/New_York,803,NA,US,33.88,-80.44,26580
29160,STANDARD,0,Swansea,,,SC,Lexington County,America/New_York,803,NA,US,33.73,-81.1,6640
29161,STANDARD,0,Timmonsville,,"Cartersville, Peniel Crossroads, Sardis",SC,Florence County,America/New_York,843,NA,US,34.13,-79.94,9320
29162,STANDARD,0,Turbeville,,,SC,Clarendon County,America/New_York,843,NA,US,33.89,-80.01,2150
29163,STANDARD,0,Vance,,,SC,Orangeburg County,America/New_York,803,NA,US,33.43,-80.42,1620
29164,STANDARD,0,Wagener,,"Bethcar, H L Crossroads, New Holland, Rocky Springs, Seivern",SC,Aiken County,America/New_York,803,NA,US,33.65,-81.36,3710
29166,STANDARD,0,Ward,,,SC,Saluda County,America/New_York,,NA,US,33.85,-81.73,760
29168,STANDARD,0,Wedgefield,,,SC,Sumter County,America/New_York,803,NA,US,33.89,-80.54,2810
29169,STANDARD,0,West Columbia,,"Cayce, Cayce-west Columbia, Dixiana, Kathwood, Pineridge, Saluda Gardens, Saluda Terrace, South Congaree, Springdale, Westover Acres",SC,Lexington County,America/New_York,803,NA,US,33.99,-81.08,18130
29170,STANDARD,0,West Columbia,,"Cayce, Cayce-west Columbia",SC,Lexington County,America/New_York,803,NA,US,33.94,-81.15,19300
29172,STANDARD,0,West Columbia,Cayce,Cayce-west Columbia,SC,Lexington County,America/New_York,803,NA,US,33.91,-81.08,8130
29175,STANDARD,0,Westville,,"De Kalb, Dekalb",SC,Kershaw County,America/New_York,,NA,US,34.45,-80.58,280
29178,STANDARD,0,Whitmire,,,SC,Newberry County,America/New_York,803,NA,US,34.5,-81.61,2500
29180,STANDARD,0,Winnsboro,White Oak,"Greenbrier, Winnsboro Mills",SC,Fairfield County,America/New_York,803,NA,US,34.37,-81.08,11040
29201,STANDARD,0,Columbia,,"Market Center, Olympia, State Hospital",SC,Richland County,America/New_York,803,NA,US,34,-81.03,8570
29203,STANDARD,0,Columbia,,"Bendale, Crafts Farrow, Crane Forest, Denny Terrace, Eau Claire, Fairfield Terrace, Farrow Terrace, Greenview, Haskell Heights, Hollywood Hills, Killian, Lincolnshire, Ridgewood, Stark Terrace",SC,Richland County,America/New_York,803,NA,US,34.1,-81.04,31600
29204,STANDARD,0,Columbia,,"Bayview, Edgewood",SC,Richland County,America/New_York,803,NA,US,34.03,-81,14450
29205,STANDARD,0,Columbia,,Five Points,SC,Richland County,America/New_York,803,NA,US,33.99,-81,17850
29206,STANDARD,0,Columbia,,"Arcadia Lakes, Forest Acres, Forest Lake, Ravenwood, Sandwood",SC,Richland County,America/New_York,803,NA,US,34.03,-80.96,18800
29208,UNIQUE,0,Columbia,,"University Of Sc, Usc",SC,Richland County,America/New_York,803,NA,US,34,-81.03,132
29209,STANDARD,0,Columbia,,"Bluff Estates, Capitol View, Cedar Terrace, Eastmont, Galaxy, Hazelwood Acres, Leesburg, Mountain Brook, Twin Lake Hill",SC,Richland County,America/New_York,803,NA,US,33.93,-80.95,29410
29210,STANDARD,0,Columbia,,Dutch Fork,SC,Richland County,America/New_York,803,NA,US,34.05,-81.11,29310
29212,STANDARD,0,Columbia,,Harbison,SC,Lexington County,America/New_York,803,NA,US,34.08,-81.2,26880
29214,UNIQUE,0,Columbia,,S C Tax Comm,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29215,UNIQUE,0,Columbia,,Bell South,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29216,UNIQUE,0,Columbia,,S C Dept Of Motor Vehicles,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29217,UNIQUE,0,Columbia,,City Of Columbia,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29218,UNIQUE,0,Columbia,,S C Electric And Gas,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29219,UNIQUE,0,Columbia,,Blue Cross Blue Shield Od Sc,SC,Richland County,America/New_York,803,NA,US,34,-81.03,14
29220,UNIQUE,0,Columbia,,Baptist Medical Center,SC,Richland County,America/New_York,803,NA,US,34,-81.03,30
29222,STANDARD,0,Columbia,,,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29223,STANDARD,0,Columbia,,"North Pointe, Northeast",SC,Richland County,America/New_York,803,NA,US,34.09,-80.92,46660
29225,UNIQUE,0,Columbia,,Univ Of S C Students Mail,SC,Richland County,America/New_York,803,NA,US,34,-81.03,97
29226,UNIQUE,0,Columbia,,Wachovia,SC,Richland County,America/New_York,803,NA,US,34,-81.03,26
29227,UNIQUE,0,Columbia,,Wachovia,SC,Richland County,America/New_York,803,NA,US,34,-81.03,0
29229,STANDARD,0,Columbia,,,SC,Richland County,America/New_York,803,NA,US,34.14,-80.89,47950
29301,STANDARD,0,Spartanburg,,"Sptbg, Westside",SC,Spartanburg County,America/New_York,864,NA,US,34.93,-82.01,28330
29302,STANDARD,0,Spartanburg,,Sptbg,SC,Spartanburg County,America/New_York,864,NA,US,34.88,-81.84,14470
29303,STANDARD,0,Spartanburg,,Sptbg,SC,Spartanburg County,America/New_York,864,NA,US,35,-81.96,17710
29306,STANDARD,0,Spartanburg,,Sptbg,SC,Spartanburg County,America/New_York,864,NA,US,34.94,-81.92,12460
29307,STANDARD,0,Spartanburg,,Sptbg,SC,Spartanburg County,America/New_York,864,NA,US,34.98,-81.83,15260
29316,STANDARD,0,Boiling Springs,"Boiling Spgs, Spartanburg",,SC,Spartanburg County,America/New_York,864,NA,US,35.04,-81.98,23900
29318,STANDARD,0,Boiling Springs,Boiling Spgs,Spartanburg,SC,Spartanburg County,America/New_York,864,NA,US,34.94,-81.92,55
29319,UNIQUE,0,Spartanburg,,"Dennys Corporation, Sptbg",SC,Spartanburg County,America/New_York,864,NA,US,34.94,-81.92,0
29321,STANDARD,0,Buffalo,,,SC,Union County,America/New_York,864,NA,US,34.72,-81.68,2010
29322,STANDARD,0,Campobello,,,SC,Spartanburg County,America/New_York,864,NA,US,35.11,-82.14,7480
29323,STANDARD,0,Chesnee,,,SC,Spartanburg County,America/New_York,864,NA,US,35.14,-81.86,12800
29325,STANDARD,0,Clinton,,,SC,Laurens County,America/New_York,864,NA,US,34.47,-81.86,11180
29330,STANDARD,0,Cowpens,,,SC,Spartanburg County,America/New_York,864,NA,US,35.01,-81.8,6960
29332,STANDARD,0,Cross Hill,,,SC,Laurens County,America/New_York,864,NA,US,34.3,-81.98,2040
29334,STANDARD,0,Duncan,,,SC,Spartanburg County,America/New_York,864,NA,US,34.93,-82.13,11540
29335,STANDARD,0,Enoree,,,SC,Spartanburg County,America/New_York,864,NA,US,34.65,-81.96,3790
29340,STANDARD,0,Gaffney,,,SC,Cherokee County,America/New_York,864,NA,US,35.07,-81.65,16610
29341,STANDARD,0,Gaffney,,,SC,Cherokee County,America/New_York,864,NA,US,35.11,-81.71,16580
29349,STANDARD,0,Inman,,,SC,Spartanburg County,America/New_York,864,NA,US,35.05,-82.09,27880
29351,STANDARD,0,Joanna,,,SC,Laurens County,America/New_York,864,NA,US,34.41,-81.81,1250
29353,STANDARD,0,Jonesville,,,SC,Union County,America/New_York,864,NA,US,34.83,-81.67,3270
29355,STANDARD,0,Kinards,,,SC,Laurens County,America/New_York,,NA,US,34.29,-81.83,590
29356,STANDARD,0,Landrum,,,SC,Spartanburg County,America/New_York,864,NA,US,35.17,-82.18,7290
29360,STANDARD,0,Laurens,,,SC,Laurens County,America/New_York,864,NA,US,34.5,-82.02,17630
29365,STANDARD,0,Lyman,,,SC,Spartanburg County,America/New_York,864,NA,US,34.95,-82.12,10630
29369,STANDARD,0,Moore,,,SC,Spartanburg County,America/New_York,864,NA,US,34.87,-82.02,13490
29370,STANDARD,0,Mountville,,,SC,Laurens County,America/New_York,864,NA,US,34.33,-81.95,930
29372,STANDARD,0,Pacolet,,,SC,Spartanburg County,America/New_York,864,NA,US,34.89,-81.76,3650
29374,STANDARD,0,Pauline,Glenn Springs,,SC,Spartanburg County,America/New_York,,NA,US,34.83,-81.87,3070
29376,STANDARD,0,Roebuck,,,SC,Spartanburg County,America/New_York,864,NA,US,34.87,-81.96,6770
29379,STANDARD,0,Union,,,SC,Union County,America/New_York,864,NA,US,34.72,-81.62,14260
29384,STANDARD,0,Waterloo,,,SC,Laurens County,America/New_York,864,NA,US,34.35,-82.05,3000
29385,STANDARD,0,Wellford,,,SC,Spartanburg County,America/New_York,864,NA,US,34.95,-82.09,6760
29388,STANDARD,0,Woodruff,,,SC,Spartanburg County,America/New_York,864,NA,US,34.74,-82.03,12680
29390,UNIQUE,1,Duncan,Bmg Columbia Hse Video Club,,SC,Spartanburg County,America/New_York,864,NA,US,34.93,-82.14,0
29391,UNIQUE,1,Duncan,Bmg Columbia House Acs,,SC,Spartanburg County,America/New_York,864,NA,US,34.93,-82.14,0
29395,UNIQUE,0,Jonesville,,Disney Direct Marketing,SC,Union County,America/New_York,864,NA,US,34.84,-81.68,0
29401,STANDARD,0,Charleston,,Chas,SC,Charleston County,America/New_York,843,NA,US,32.78,-79.93,6190
29403,STANDARD,0,Charleston,,Chas,SC,Charleston County,America/New_York,843,NA,US,32.81,-79.94,14250
29404,STANDARD,0,Charleston Afb,"Charleston, Chas Afb, Joint Base Charleston, Jt Base Chas","Chas, N Charleston, No Chas",SC,Charleston County,America/New_York,843,NA,US,32.9,-80.06,1860
29405,STANDARD,0,North Charleston,"Charleston, N Charleston","Chas, Chas Hgts, No Chas, Pinehaven",SC,Charleston County,America/New_York,843,NA,US,32.86,-79.98,20920
29406,STANDARD,0,Charleston,"N Charleston, North Charleston","Chas, No Chas",SC,Charleston County,America/New_York,843,NA,US,32.94,-80.04,24870
29407,STANDARD,0,Charleston,,"Chas, Saint Andrews, St Andrews",SC,Charleston County,America/New_York,843,NA,US,32.78,-79.99,30460
29409,UNIQUE,0,Charleston,The Citadel,Chas,SC,Charleston County,America/New_York,843,NA,US,32.8,-79.96,227
29410,STANDARD,0,Hanahan,"Charleston, N Charleston, North Charleston","Chas, Goose Creek",SC,Berkeley County,America/New_York,843,NA,US,32.91,-80.01,17520
29412,STANDARD,0,Charleston,,"Chas, James Island",SC,Charleston County,America/New_York,843,NA,US,32.71,-79.95,33900
29414,STANDARD,0,Charleston,,Chas,SC,Charleston County,America/New_York,843,NA,US,32.84,-80.09,36250
29418,STANDARD,0,North Charleston,"Charleston, N Charleston","Ch Hgts, Charleston Heights, Charleston Hts, Chas, Chas Hgts, No Chas",SC,Charleston County,America/New_York,843,NA,US,32.91,-80.09,21080
29420,STANDARD,0,North Charleston,"Charleston, N Charleston","Chas, No Chas",SC,Dorchester County,America/New_York,843,NA,US,32.93,-80.1,21030
29424,UNIQUE,0,Charleston,,"Chas, The College Of Charleston",SC,Charleston County,America/New_York,843,NA,US,32.78,-79.94,64
29425,UNIQUE,0,Charleston,,"Chas, Medical University Of Sc",SC,Charleston County,America/New_York,843,NA,US,32.78,-79.99,0
29426,STANDARD,0,Adams Run,Jericho,Osborn,SC,Charleston County,America/New_York,,NA,US,32.8,-80.37,1500
