,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015,job_growth_per
301,29670,STANDARD,0,Pendleton,,,SC,Anderson County,America/New_York,864,,US,34.65,-82.78,7250,2.5
302,29671,STANDARD,0,Pickens,,,SC,Pickens County,America/New_York,864,,US,34.88,-82.7,15360,2.5
303,29672,STANDARD,0,Seneca,,,SC,Oconee County,America/New_York,864,,US,34.75,-82.93,10270,2.5
304,29673,STANDARD,0,Piedmont,Powdersville,,SC,Greenville County,America/New_York,864,,US,34.71,-82.46,24590,2.5
305,29676,STANDARD,0,Salem,,,SC,Oconee County,America/New_York,864,,US,34.89,-82.97,4710,2.5
306,29678,STANDARD,0,Seneca,,,SC,Oconee County,America/New_York,864,,US,34.68,-82.95,17270,2.5
307,29680,STANDARD,0,Simpsonville,,,SC,Greenville County,America/New_York,864,,US,34.69,-82.29,28670,2.5
308,29681,STANDARD,0,Simpsonville,,,SC,Greenville County,America/New_York,864,,US,34.73,-82.25,53490,2.5
309,29682,STANDARD,0,Six Mile,,,SC,Pickens County,America/New_York,864,,US,34.8,-82.81,3370,2.5
310,29684,STANDARD,0,Starr,,,SC,Anderson County,America/New_York,864,,US,34.37,-82.69,3930,2.5
311,29685,STANDARD,0,Sunset,,,SC,Pickens County,America/New_York,864,,US,34.99,-82.84,1340,2.5
312,29686,STANDARD,0,Tamassee,,,SC,Oconee County,America/New_York,864,,US,34.96,-83.05,810,2.5
313,29687,STANDARD,0,Taylors,,,SC,Greenville County,America/New_York,864,,US,34.91,-82.31,38240,2.5
314,29689,STANDARD,0,Townville,,,SC,Anderson County,America/New_York,864,,US,34.56,-82.89,3560,2.5
315,29690,STANDARD,0,Travelers Rest,Travelers Rst,,SC,Greenville County,America/New_York,864,,US,34.96,-82.43,18390,2.5
316,29691,STANDARD,0,Walhalla,,,SC,Oconee County,America/New_York,864,,US,34.77,-83.06,8840,2.5
